Programa de financiación;Título;Ce.gestor;Funcional;Económico;Fondo;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2022/002001;PARQUES INFANTILES BARRIO DE HISPANOAMÉRICA.COLUMPIOS INCLUSIVOS Y OTRAS MEJORAS (ID 20: 12562);001150;16301;61913;;166.301,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;205;CHAMARTIN
2022/002002;ZONAS DE EJERCICIO PARA MAYORES EN SOMBRA SAN BLAS-CANILLEJAS. INSTALACIÓN (ID 20: 14901);001150;16301;61913;;152.117,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;220;SAN BLAS - CANILLEJAS
2022/002005;APARATOS DE GIMNASIA ADULTOS Y MAYORES EN PALOMERAS BAJAS - MADRID SUR. INSTALACIÓN (ID 18: 2427);001150;16301;60913;;57.044,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;213;PUENTE DE VALLECAS
2022/002009;COLUMPIOS INCLUSIVOS, MOVILIDAD REDUCIDA EN PARQUES DISTRITO DE RETIRO. INSTALACIÓN (ID 19: 9978);001150;16301;60913;;239.964,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;203;RETIRO
2022/002012;COLUMPIOS INCLUSIVOS ADAPTADOS PARQUES DEL DISTRITO DE MONCLOA-ARAVACA.INSTALACIÓN (ID 19: 10353);001150;16301;60913;;63.283,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;209;MONCLOA-ARAVACA
2022/002031;ÁREA DE MAYORES EN LA COLONIA VIRGEN DE LA ESPERANZA,BARRIO DE CANILLAS. INSTALACIÓN (ID 20: 15437);001150;16301;61913;;135.839,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;216;HORTALEZA
2023/003008;ÁREA DE CALISTENIA EN EL BARRIO DE ORCASITAS. INSTALACIÓN (ID 22: 18132);001150;16301;60913;5;65.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;212;USERA
2023/003025;NUEVOS BANCOS EN PLAZAS, PARQUES, JARDINES Y ÁREAS SINGULARES. INSTALACIÓN (ID 22: 18994);001150;16301;60913;5;1.000.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2023/003052;ÁREAS INFANTILES DE INTEGRACIÓN. ACTUACIONES DE TRANSFORMACIÓN E INSTALACIÓN (ID 22: 17328);001150;16301;60913;5;2.500.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2023/003053;ÁREA INFANTIL SINGULAR PARQUE ENRIQUE TIERNO GALVÁN. TRANSFORMACIÓN E INSTALACIÓN (ID 22: 17669);001150;16301;60913;5;450.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;202;ARGANZUELA
2023/003054;ÁREA DE MAYORES EN EL BARRIO DE GOYA, DISTRITO DE LATINA. INSTALACIÓN (ID 22: 17698);001150;16301;60913;5;35.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;210;LATINA
2023/003055;ÁREA INFANTIL SINGULAR EN EL PARQUE DE INGENIEROS. TRANSFORMACIÓN E INSTALACIÓN (ID 22: 18676);001150;16301;60913;5;350.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;217;VILLAVERDE
2023/003056;ÁREA INFANTIL EN LA EXPLANADA DE LA PLAZA DE TOROS DE LAS VENTAS. INSTALACIÓN (ID 22: 19030);001150;16301;60913;5;250.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;204;SALAMANCA
2023/003057;ÁREA INFANTIL SINGULAR EN EL CAÑAVERAL. INSTALACIÓN (ID 22: 19126);001150;16301;60913;5;400.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;219;VICALVARO
2023/003059;ÁREAS INFANTILES Y CIRCUITOS DEPORTIVOS EN EL PARQUE INGENIEROS. INSTALACIÓN (ID 22: 19230);001150;16301;60913;5;300.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;217;VILLAVERDE
2023/000065;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS ÁREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;001150;17000;62500;;140.782,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2023/000065;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS ÁREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;001150;17000;62599;;1.500,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2017/000244;PARQUE DE LA CASA DE CAMPO. ACTUACIONES DE REHABILITACIÓN;001150;17101;61920;;3.049.852,00;09;MEDIO AMBIENTE;00;PARQUES;209;MONCLOA-ARAVACA
2019/003807;"PARQUE ""Z"" Y PARQUE C/ FUENTE CARRANTONA. MEJORAS";001150;17101;61920;5;2.734.869,00;09;MEDIO AMBIENTE;00;PARQUES;214;MORATALAZ
2019/004356;PARQUE CALERO. REHABILITACIÓN (ID 18: 9065);001150;17101;61920;5;975.000,00;09;MEDIO AMBIENTE;00;PARQUES;215;CIUDAD LINEAL
2021/001304;ROSALEDA DEL PARQUE DEL OESTE. REHABILITACIÓN PÉRGOLA Y REPARACIÓN DE DAÑOS;001150;17101;61920;;322.062,00;09;MEDIO AMBIENTE;00;PARQUES;209;MONCLOA-ARAVACA
2022/000162;MUSEO ESTUFAS RETIRO. INSTALACIÓN;001150;17101;61920;;353.918,00;09;MEDIO AMBIENTE;00;PARQUES;203;RETIRO
2022/001032;MONTAÑA DE LOS GATOS EN LOS JARDINES DEL BUEN RETIRO. RECUPERACIÓN INTEGRAL;001150;17101;61920;;1.692.766,00;09;MEDIO AMBIENTE;00;PARQUES;203;RETIRO
2023/001012;OTROS GASTOS DE INVERSIÓN EN PATRIMONIO VERDE DE LA CIUDAD;001150;17101;63300;;300;09;MEDIO AMBIENTE;00;PARQUES;998;VARIOS DISTRITOS
2023/001012;OTROS GASTOS DE INVERSIÓN EN PATRIMONIO VERDE DE LA CIUDAD;001150;17101;61916;;200;09;MEDIO AMBIENTE;00;PARQUES;998;VARIOS DISTRITOS
2023/001012;OTROS GASTOS DE INVERSIÓN EN PATRIMONIO VERDE DE LA CIUDAD;001150;17101;61917;;100;09;MEDIO AMBIENTE;00;PARQUES;998;VARIOS DISTRITOS
2023/001012;OTROS GASTOS DE INVERSIÓN EN PATRIMONIO VERDE DE LA CIUDAD;001150;17101;61921;;200;09;MEDIO AMBIENTE;00;PARQUES;998;VARIOS DISTRITOS
2023/001012;OTROS GASTOS DE INVERSIÓN EN PATRIMONIO VERDE DE LA CIUDAD;001150;17101;63200;;100;09;MEDIO AMBIENTE;00;PARQUES;998;VARIOS DISTRITOS
2023/001012;OTROS GASTOS DE INVERSIÓN EN PATRIMONIO VERDE DE LA CIUDAD;001150;17101;61920;;1.500,00;09;MEDIO AMBIENTE;00;PARQUES;998;VARIOS DISTRITOS
2023/001013;VIVEROS MUNICIPALES CASA DE CAMPO Y MIGAS CALIENTES.ACONDICIONAMIENTO UMBRÁCULOS Y SUBSANACIÓN DAÑOS;001150;17101;61920;;152.533,00;09;MEDIO AMBIENTE;00;PARQUES;209;MONCLOA-ARAVACA
2023/003022;PARQUE DEHESA DE LA VILLA. RECUPERACIÓN Y RENOVACIÓN DEL MOBILIARIO URBANO (ID 22: 17762);001150;17101;60913;5;50.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;209;MONCLOA-ARAVACA
2023/003039;PARQUE DEHESA DE LA VILLA. MODERNIZACIÓN ÁREAS INFANTILES (ID 22: 18084);001150;17101;61913;5;650.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;209;MONCLOA-ARAVACA
2020/000330;CREACION DE UNA ZONA SEMIFORESTAL ENTRE LA CALLE ESTOCOLMO Y LA M-40;001150;17102;61922;;964.151,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;220;SAN BLAS - CANILLEJAS
2021/000347;"PARQUE DE LAS CRUCES, DISTRITO DE CARABANCHEL. REHABILITACIÓN (ID 19: 9283;11756)";001150;17102;61920;;1.901.826,00;09;MEDIO AMBIENTE;00;PARQUES;211;CARABANCHEL
2021/000349;PARQUE DE PRADOLONGO, DISTRITO DE USERA. REHABILITACIÓN Y AMPLIACIÓN;001150;17102;61920;;1.023.889,00;09;MEDIO AMBIENTE;00;PARQUES;212;USERA
2021/001510;ZONAS VERDES Y VIALES CASCO URBANO DE EL PARDO. REHABILITACIÓN;001150;17102;61921;;615.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;208;FUENCARRAL-EL PARDO
2023/003020;JARDINES EN ALCORQUES EN EL DISTRITO DE CHAMBERÍ (ID 22: 17391);001150;17102;61922;5;12.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;207;CHAMBERI
2023/003023;ZONA VERDE EN EL Bº DE BUTARQUE ENTRE C/HULLA Y HUERTAS DEL RÍO. RECUPERACIÓN (ID 22: 18000);001150;17102;61921;5;60.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;217;VILLAVERDE
2023/003026;ZONAS PARA PERROS Y PANELES INFORMATIVOS EN JARDINES DISTRITO DE USERA.INSTALACIÓN (ID 22: 18592);001150;17102;61921;5;90.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;212;USERA
2023/003027;ZONA VERDE E INFANTIL JUNTO AL CASTILLO DE LA ALAMEDA DE OSUNA. ADECUACIÓN ACCESOS (ID 22: 18957);001150;17102;61921;5;100.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;221;BARAJAS
2023/003028;PARQUE DE ANTONIO PIRALA. OBRAS DE REMODELACIÓN Y MEJORA (ID 22: 17359);001150;17102;61920;5;600.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;215;CIUDAD LINEAL
2023/003029;C/JOSÉ DEL HIERRO ENTRE VGEN.DEL SAGRARIO Y DR.VALLEJO. ARBOLADO Y RIEGO AUTOMATIZADO (ID 22: 17375);001150;17102;61922;5;40.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;215;CIUDAD LINEAL
2023/003030;ÁREA VERDE EL CAÑAVERAL. ADECUACIÓN ÁREA CANINA Y REVEGETACIÓN (ID 22: 17395);001150;17102;61920;5;10.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;219;VICALVARO
2023/003031;ZONAS VERDES ENSANCHE DE VALLECAS. CAMINOS, ZONAS ESTANCIALES Y OTRAS MEJORAS(ID 22: 17461);001150;17102;61921;5;500.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;218;VILLA DE VALLECAS
2023/003032;ZONA FORESTAL MONTECARMELO: M-607 KM.13-GTA.VENTISQUERO DE LA CONDESA.REHABILITACIÓN (ID 22: 17548);001150;17102;61920;5;220.000,00;09;MEDIO AMBIENTE;00;PARQUES;208;FUENCARRAL-EL PARDO
2023/003033;CALLE VALDERRIBAS, ENTRE C/GUTEMBERG Y DR.ESQUERDO. ARBOLADO Y RIEGO AUTOMÁTICO (ID 22: 17563);001150;17102;61922;5;50.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;203;RETIRO
2023/003034;PARQUE DEL CERRO DEL TÍO PÍO. ADECUACIÓN ACCESOS (ID 22: 17667);001150;17102;61920;5;50.000,00;09;MEDIO AMBIENTE;00;PARQUES;213;PUENTE DE VALLECAS
2023/003035;HUERTO URBANO COMUNITARIO EN EL DISTRITO DE CHAMBERÍ. INSTALACIÓN (ID 22: 17672);001150;17102;61000;5;30.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;207;CHAMBERI
2023/003036;ZONA VERDE EN EL BARRIO DE REJAS. OBRAS DE ACONDICIONAMIENTO (ID 22: 17683);001150;17102;60921;5;100.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;220;SAN BLAS - CANILLEJAS
2023/003037;ACCESO AL PASEO FLUVIAL DEL MANZANARES JUNTO C/ZAFIRO. ADECUACIÓN ZONA APARCAMIENTO(ID 22: 17881);001150;17102;61920;5;100.000,00;09;MEDIO AMBIENTE;00;PARQUES;217;VILLAVERDE
2023/003038;ZONA VERDE ENTRE EL DEPORTIVO MARÍA VILLOTA Y COLEGIO PÚBLICO EL GRECO.REMODELACIÓN (ID 22: 18078);001150;17102;61921;5;220.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;217;VILLAVERDE
2023/003040;MURO Y TERRAPLÉN EN ZONA VERDE CALLE MIRASIERRA. REPARACIÓN Y TRATAMIENTO DE TALUD (ID 22:18593);001150;17102;61921;5;300.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;212;USERA
2023/003041;C/ARROYO BELINCOSO C/V CORREGIDOR DIEGO CABEZA DE VACA. ARBOLADO Y RIEGO AUTOMATIZADO (ID 22: 18783);001150;17102;61922;5;12.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;214;MORATALAZ
2023/003042;CALLE DE HOYUELO, DISTRITO DE RETIRO. ARBOLADO Y RIEGO AUTOMATIZADO (ID 22: 18813);001150;17102;61922;5;12.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;203;RETIRO
2023/003043;PARQUE CERRO ALMODÓVAR. ACONDICIONAMIENTO ZONA DE SKATEPARK (ID 22: 18852);001150;17102;61920;5;130.000,00;09;MEDIO AMBIENTE;00;PARQUES;210;LATINA
2023/003044;PARQUE DE LAS AVENIDAS Y PARQUE DE BREOGAN, SALAMANCA. ARBOLADO Y RIEGO AUTOMATIZADO (ID 22: 19006);001150;17102;61922;5;75.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;204;SALAMANCA
2023/003045;BARRIOS DE ALMENARA Y VALDEACEDERAS, DISTRITO DE TETUÁN. ÁRBOLES EN ACERAS Y RIEGO (ID 22: 19239);001150;17102;60922;5;350.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;206;TETUAN
2022/000200;MEDIDAS DE EFICIENCIA ENERGÉTICA EN DIVERSOS EDIFICIOS MUNICIPALES;001150;17211;63301;;605.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2022/000201;INVERSIONES DE EFICIENCIA ENERGÉTICA EN INSTALACIONES MUNICIPALES;001150;17211;62301;;180.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2022/000203;CENTROS DE CARGA ENERGÍA ELÉCTRICA E HIDRÓGENO A VEHÍCULOS SIN EMISIONES. (ELECTROLINERAS);001150;17211;62301;;1.362.500,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2022/000204;ENERGÍAS RENOVABLES.INSTALACIONES SOLAR TÉRMICA Y SOLAR FOTOVOLTAICA EN DEPENDENCIAS MUNICIPALES;001150;17211;62301;;302.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2022/001311;SERVICIO SOSTENIBILIDAD. INSTALACIÓN EQUIPOS DE VIGILANCIA DE LA CALIDAD DEL AIRE;001150;17211;63300;;118.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2023/001004;SERVICIOS DE SOSTENIBILIDAD. INSTALACIÓN EQUIPOS DE VIGILANCIA DE LA CALIDAD DEL AIRE;001150;17211;63300;;282.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2023/001005;HUERTOS URBANOS EN EL PARQUE CENTRAL DE VALDEBEBAS. OBRAS DE REMODELACIÓN;001150;17211;61920;;65.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;221;BARAJAS
2023/003060;ESTACIÓN DE CONTROL CALIDAD DEL AIRE ENSANCHE DE VALLECAS. ANALIZADORES DE PARTÍCULAS (ID 22: 19156);001150;17211;62300;5;70.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;218;VILLA DE VALLECAS
2021/001303;SERVICIO CONTROL AMBIENTAL. SISTEMA INTEGRAL VIGILANCIA CONTAMINACIÓN ACÚSTICA;001150;17212;63200;;59.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2023/000340;CENTRO MUNICIPAL DE ACÚSTICA. SOFTWARE Y ADECUACIÓN DE INSTALACIONES;001150;17212;63301;;35.000,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2023/000340;CENTRO MUNICIPAL DE ACÚSTICA. SOFTWARE Y ADECUACIÓN DE INSTALACIONES;001150;17212;64100;;60.500,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2023/000338;SERVICIOS ADMINISTRATIVOS ÁREA DE GOBIERNO DE DESARROLLO URBANO. ADQUISICIÓN MOBILIARIO Y MAMPARAS;001160;15000;62500;;38.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2003/001141;SUELO URBANIZABLE PROGRAMADO ENSANCHE DE BARAJAS 1.01;001160;15102;60901;;5.900,00;06;URBANISMO;02;urbanización suelo a través del sist.compensación;221;BARAJAS
2003/001151;AREA DE PLANEAMIENTO REMITIDO 09.03 BULEVAR ARROYO DE LOS PINOS;001160;15102;60901;;295;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;209;MONCLOA-ARAVACA
2004/001092;ÁREA DE PLANEAMIENTO REMITIDO EMILIO MUÑOZ 20.04;001160;15102;60901;;1.000,00;06;URBANISMO;02;urbanización suelo a través del sist.compensación;220;SAN BLAS - CANILLEJAS
2005/001476;DESARROLLO DEL ESTE EL CAÑAVERAL UZP 2.01. URBANIZACIÓN;001160;15102;60901;;50.000,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;219;VICALVARO
2006/000375;SISTEMAS DE COMPENSACIÓN. UZP 2-04 LOS BERROCALES;001160;15102;60901;;781.646,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;219;VICALVARO
2006/000377;SISTEMAS DE COMPENSACIÓN. PERI 14-06 SANTA LUISA INDUSTRIAL;001160;15102;60901;;11.000,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;218;VILLA DE VALLECAS
2009/000488;UZP 2.03 DESARROLLO DEL ESTE LOS AHIJONES. COMPENSACIÓN;001160;15102;60901;;400.000,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;219;VICALVARO
2010/000216;ÁREA DE PLANEAMIENTO REMITIDO 08.01 CALLE CANTALEJO. COMPENSACIÓN;001160;15102;60901;;18.503,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;208;FUENCARRAL-EL PARDO
2010/000393;SUELO URBANIZABLE PROGRAMADO 3.01 DESARROLLO DEL ESTE VALDECARROS;001160;15102;60901;;800.000,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;218;VILLA DE VALLECAS
2014/000198;JUNTA DE COMPENSACIÓN PLANETARIO MENESES. OBRAS DE URBANIZACIÓN;001160;15102;60901;;14.907,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;202;ARGANZUELA
2014/000431;DESARROLLO DEL ESTE-LOS CERROS. JUNTA DE COMPENSACIÓN;001160;15102;60901;;400.000,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;219;VICALVARO
2015/000464;CALLE LENGUAS ESTE. URBANIZACIÓN A TRAVÉS DEL SISTEMA DE COMPENSACIÓN;001160;15102;60901;;100.000,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;217;VILLAVERDE
2019/000154;APE 21.07/M IBERICA LINEAS AEREAS DE ESPAÑA. URBANIZACION;001160;15102;60901;;50.000,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;221;BARAJAS
2022/000521;ADQUISICIÓN SUELO CALLE DE LEIRA,RICARDO SAN JUAN, DESAGÜE DEL CANAL Y OTRAS. BOSQUE METROPOLITANO;001160;15102;60000;;1.225.000,00;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;216;HORTALEZA
2022/001018;ADQUISICIÓN SUELO C/LEIRA,RICARDO SAN JUAN,DESAGÜE CANAL Y OTRAS.BOSQUE METROPOLITANO.EQUIPAMIENTOS;001160;15102;68100;;150.000,00;06;URBANISMO;05;ADQUISICIÓN SUELO PATRIMONIAL;216;HORTALEZA
2023/000098;ÁREA DE PLANEAMIENTO ESPECÍFICO 04.09 CLUB SANTIAGO. JUNTA DE COMPENSACIÓN;001160;15102;60901;;13.433,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;204;SALAMANCA
2023/001001;ADQUISICION SUELO PARA ZONAS VERDES Y VIARIO;001160;15102;60000;;685.842,00;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;998;VARIOS DISTRITOS
2023/001002;ADQUISICION SUELO PATRIMONIAL;001160;15102;68100;;585.842,00;06;URBANISMO;05;ADQUISICIÓN SUELO PATRIMONIAL;998;VARIOS DISTRITOS
2022/000132;ADOPCIÓN DE MEDIDAS DE SEGURIDAD EN EDIFICIOS MUNICIPALES;001160;15103;63200;;1.200.000,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;998;VARIOS DISTRITOS
2021/000352;DERRIBOS EN ÁMBITOS DE EXPROPIACIÓN;001160;15105;60000;;700.000,00;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;998;VARIOS DISTRITOS
2022/000226;URBANIZACIÓN SUELO EN EL TÉRMINO MUNICIPAL DE MADRID;001160;15105;60904;;1.559.684,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;998;VARIOS DISTRITOS
2022/000227;DERRIBOS EN SUELO PATRIMONIAL;001160;15105;68100;;500.000,00;06;URBANISMO;05;ADQUISICIÓN SUELO PATRIMONIAL;998;VARIOS DISTRITOS
2020/007074;ÁMBITO CAMPO DE LAS NACIONES. EJECUCIÓN DEL BOSQUE METROPOLITANO;001160;17213;60904;;750.000,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;216;HORTALEZA
2020/007076;ANILLO VERDE DE VILLAVERDE. EJECUCIÓN BOSQUE METROPOLITANO;001160;17213;60904;;3.254.516,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;217;VILLAVERDE
2021/000437;BORDE FORESTAL DE ORCASITAS. EJECUCIÓN DEL BOSQUE METROPOLITANO;001160;17213;60904;;1.000.000,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;212;USERA
2021/000439;CUÑA ARROYO DEL FRESNO. EJECUCIÓN DE BOSQUE METROPOLITANO;001160;17213;60904;;2.000.000,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;208;FUENCARRAL-EL PARDO
2021/000440;CUÑA NORTE DE O´DONNELL. EJECUCIÓN DEL BOSQUE METROPOLITANO;001160;17213;60904;;2.500.000,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;215;CIUDAD LINEAL
2021/001298;ÁMBITO DE BUTARQUE. EJECUCIÓN DEL BOSQUE METROPOLITANO;001160;17213;60904;;744.393,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;217;VILLAVERDE
2021/001483;PARCELAS ÁMBITO VALDEGRULLA Y PARAJE VALDESENDERÍN. DESESCOMBRO Y RENATURALIZACIÓN;001160;17213;60904;;2.386.186,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;208;FUENCARRAL-EL PARDO
2022/000469;OBRAS DE URBANIZACIÓN ESPACIOS INTERBLOQUE PLAN ESPECIAL ROGER DE FLOR;001160;17213;60904;5;129.071,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;211;CARABANCHEL
2022/001534;PLAZA DE BARRAGÁN, DISTRITO DE CARABANCHEL. ACTUACIONES DE RENATURALIZACIÓN;001160;17213;60904;;44.640,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;211;CARABANCHEL
2022/001587;CALLE TOMELLOSO, 4, DISTRITO DE USERA. ACTUACIONES DE RENATURALIZACIÓN;001160;17213;60904;;61.342,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;212;USERA
2022/001588;CALLE BLAS CABRERA, DISTRITO LATINA. OBRAS DE ACONDICIONAMIENTO PARA APARCAMIENTO PROVISIONAL;001160;17213;60904;;140.152,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;210;LATINA
2022/001605;ÁMBITO CASTILLO DE LA ALAMEDA. OBRAS DE RENATURALIZACIÓN;001160;17213;60904;;699.568,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;221;BARAJAS
2022/001647;C/ SOLEDAD CAZORLA. ACTUACIONES DE RENATURALIZACIÓN;001160;17213;60904;;1.527.099,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;210;LATINA
2022/001663;BARRIO DE PROMOCIÓN PÚBLICA COLONIA QUINTA DEL PILAR. ACONDICIONAMIENTO URBANIZACIÓN;001160;17213;60904;5;525.000,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;217;VILLAVERDE
2022/001675;ENTORNO LA ELIPA I Y II. OBRAS DE RENATURALIZACIÓN Y ACONDICIONAMIENTO DE LA URBANIZACIÓN;001160;17213;60904;;506.629,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;215;CIUDAD LINEAL
2023/000284;URBANIZACIÓN SOLARES EN DESUSO PARA CONVERSIÓN EN ZONAS RENATURALIZADAS O ESTANCIALES;001160;17213;60904;5;350.000,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;998;VARIOS DISTRITOS
